date,symbol,transaction_type,quantity,price,total,category
2024-01-02,VOO,BUY,10,400.50,4005.00,ETF
2024-01-05,VTI,BUY,5,230.20,1151.00,ETF
2024-01-10,IVV,BUY,8,420.10,3360.80,ETF
2024-01-15,VOO,SELL,2,410.00,820.00,ETF
2024-01-20,VTI,BUY,7,235.00,1645.00,ETF
2024-01-25,IVV,SELL,3,425.00,1275.00,ETF
2024-02-01,VOO,BUY,4,415.50,1662.00,ETF
2024-02-05,VTI,SELL,2,240.00,480.00,ETF
2024-02-10,IVV,BUY,6,430.00,2580.00,ETF
2024-02-15,VOO,BUY,3,420.00,1260.00,ETF
2024-02-20,VTI,BUY,4,245.00,980.00,ETF
2024-02-25,IVV,SELL,2,435.00,870.00,ETF
2024-03-01,VOO,SELL,1,425.00,425.00,ETF
2024-03-05,VTI,BUY,6,250.00,1500.00,ETF
2024-03-10,IVV,BUY,5,440.00,2200.00,ETF
